person,first_seen_s,last_seen_s,present_s,standing_still_s,walked_px,mostly_in_region
3,9.5,33.23,22.7,22.07,83,bottom-centre
32,103.2,110.7,6.6,4.3,90,bottom-right
18,51.97,58.5,6.43,3.83,116,bottom-right
16,47.67,51.43,3.8,2.43,146,bottom-right
26,70.2,75.37,2.83,2.3,35,bottom-centre
10,31.3,33.03,1.77,0.93,39,bottom-centre
31,93.07,94.9,1.5,0.3,137,bottom-centre
15,36.93,38.43,1.33,1.33,17,bottom-centre
0,4.4,6.43,1.17,0.6,138,bottom-right
33,112.67,113.33,0.63,0.3,100,bottom-right
8,28.4,28.57,0.2,0.2,16,bottom-centre
22,59.13,59.5,0.2,0.03,115,bottom-centre
30,85.03,85.93,0.1,0.07,26,bottom-centre
5,23.47,23.47,0.03,0.0,11,bottom-centre
