person,first_seen_s,last_seen_s,present_s,standing_still_s,walked_px,mostly_in_region,shopper_type,stops,walking_speed_px_s,path
3,5.07,21.61,16.41,15.61,58,middle-left,considered,1,71.9,middle-centre > middle-left
11,10.37,25.61,15.28,11.17,470,bottom-right,considered,1,114.6,bottom-left > bottom-centre > bottom-right
2,2.07,5.7,3.17,2.7,13,middle-centre,considered,1,27.0,middle-centre
20,14.31,17.88,1.37,1.37,0,top-centre,passing,0,0.0,top-centre
9,8.94,10.21,1.27,0.37,91,bottom-left,passing,0,101.2,bottom-left
25,18.18,19.14,1.0,0.87,12,bottom-left,passing,0,91.6,bottom-left
6,6.2,6.8,0.57,0.3,56,bottom-left,passing,0,210.8,bottom-left
21,15.88,16.14,0.27,0.0,100,bottom-right,passing,0,374.4,
4,5.6,5.77,0.2,0.2,0,middle-centre,passing,0,0.0,
12,10.74,11.01,0.2,0.13,0,middle-centre,passing,0,0.0,
13,10.91,11.07,0.2,0.2,0,middle-centre,passing,0,0.0,
24,18.01,18.18,0.2,0.0,86,bottom-centre,passing,0,429.6,
22,16.44,16.58,0.17,0.0,6,bottom-right,passing,0,33.6,
14,12.87,13.61,0.1,0.1,0,middle-left,passing,0,0.0,
41,24.95,25.01,0.1,0.1,0,bottom-left,passing,0,0.0,
36,19.14,19.18,0.07,0.0,8,middle-right,passing,0,122.4,
7,8.77,8.77,0.03,0.03,0,middle-left,passing,0,0.0,
37,19.54,19.54,0.03,0.03,0,middle-right,passing,0,0.0,
