person,first_seen_s,last_seen_s,present_s,standing_still_s,walked_px,mostly_in_region,mostly_in_zone,shopper_type,stops,walking_speed_px_s,path
1,6.8,59.93,52.27,41.67,990,bottom-centre,checkout,browsing,3,93.4,checkout > entrance > unzoned > checkout > entrance
3,12.0,59.93,48.0,38.87,853,bottom-right,checkout,browsing,3,93.4,entrance > aisle_a > checkout
0,6.8,53.6,46.87,40.93,474,bottom-right,checkout,browsing,3,79.9,aisle_a > entrance > checkout
2,10.27,48.8,38.6,29.0,856,bottom-centre,checkout,browsing,3,89.2,entrance > aisle_a > aisle_b > checkout > entrance
4,17.27,53.6,36.4,25.8,950,bottom-right,checkout,browsing,3,89.7,entrance > checkout > entrance
5,23.93,59.93,36.07,28.13,740,middle-left,aisle_a,browsing,2,93.2,entrance > aisle_a > checkout
8,27.33,59.93,32.67,23.73,832,middle-left,aisle_a,browsing,2,93.1,entrance > aisle_a > aisle_b > checkout
9,28.93,59.93,31.07,26.13,439,bottom-right,checkout,browsing,3,88.9,entrance > aisle_a > checkout
10,31.53,59.93,28.47,22.73,640,top-left,aisle_a,browsing,2,111.6,entrance > aisle_a > entrance
11,39.93,59.93,20.07,16.73,305,bottom-centre,checkout,considered,1,91.5,entrance > checkout
12,40.53,59.93,19.47,13.93,509,bottom-left,entrance,considered,1,92.0,entrance > checkout
6,26.8,45.73,19.0,13.73,416,bottom-right,checkout,browsing,2,79.0,checkout > entrance > checkout
14,47.6,59.93,12.4,8.8,321,top-left,aisle_a,considered,1,89.2,entrance > aisle_a
13,45.4,50.07,4.73,0.0,450,bottom-centre,checkout,direct,0,95.1,checkout > entrance
17,52.93,56.27,3.4,0.0,316,bottom-centre,checkout,direct,0,92.9,checkout > entrance
19,57.73,59.93,2.27,0.0,203,bottom-left,entrance,passing,0,89.8,entrance
16,50.0,51.27,1.33,0.0,87,bottom-left,entrance,passing,0,65.0,entrance
18,56.27,57.47,1.27,0.07,74,bottom-left,entrance,passing,0,61.5,entrance
7,27.13,27.93,0.87,0.47,19,bottom-centre,entrance,passing,0,48.7,entrance
