person,entered_view_from_edge,left_view_via_edge,basis
0,1,1,frame edge (no door configured)
1,0,0,frame edge (no door configured)
3,0,0,frame edge (no door configured)
4,0,1,frame edge (no door configured)
6,0,0,frame edge (no door configured)
12,0,0,frame edge (no door configured)
13,1,1,frame edge (no door configured)
18,0,0,frame edge (no door configured)
20,0,0,frame edge (no door configured)
25,0,0,frame edge (no door configured)
26,0,0,frame edge (no door configured)
27,0,0,frame edge (no door configured)
